codIndicador,nomeIndicador,codPerfil,nomePerfil,codMedida,tipoMovimento,dtMovto,diaMovto,mesMovto,anoMovto,anoMesDiaMovto,anoMesMovto,mesAnoMovto,vlrMovto,Cidade,Vendedor,Documento,Estrutura,Filial,Fornecedor,Historico,Mercadoria,Regiao,UF
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-05-20,20,5,2020,2020-05-20,2020-05-01,2020-05-01,7.0,XANXERE,VENDEDOR DA STARA,3486/NFe,10. 1. 3 -> Acabamento Interno,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,1059 - BIG GRAVATAÍ (36),VENDAS OFICINA - 61,CAPA,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-05-20,20,5,2020,2020-05-20,2020-05-01,2020-05-01,70.0,XANXERE,VENDEDOR DA STARA,3487/NFe,10. 1. 3 -> Acabamento Interno,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,1059 - BIG GRAVATAÍ (36),VENDAS OFICINA - 61,CAPA,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-06-18,18,6,2020,2020-06-18,2020-06-01,2020-06-01,40.0,Marau,1 CLAUDIO 15/07,966/nfe1,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS BALCAO - NF. - 6,KM RODADO,.,RS
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-06-18,18,6,2020,2020-06-18,2020-06-01,2020-06-01,500.0,XANXERE,1 CLAUDIO 15/07,962/nfe1,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS BALCAO - NF. - 6,KM RODADO,.,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-06-18,18,6,2020,2020-06-18,2020-06-01,2020-06-01,140.0,XANXERE,1 CLAUDIO 15/07,964/nfe1,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS VEICULOS - 7,KM RODADO,.,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-06-18,18,6,2020,2020-06-18,2020-06-01,2020-06-01,340.0,XANXERE,1 CLAUDIO 15/07,965/nfe1,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS VEICULOS - 7,KM RODADO,.,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,.,6703/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,12.0,.,.,6703/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,100.0,.,.,6703/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,4600.0,.,.,6703/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,500.0,.,MAURICIO,6690/REQ,9. 1.12 -> Sistema Eletrico,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,"""ADAP F 1/2"""" NPTXM 3/8""""NPT D10 """,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6691/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6692/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6693/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6694/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6695/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6696/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6697/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6698/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-23,23,7,2020,2020-07-23,2020-07-01,2020-07-01,50.0,.,MAURICIO,6699/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,50.0,.,.,6700/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,12.0,.,.,6700/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,100.0,.,.,6700/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,4600.0,.,.,6700/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,50.0,.,.,6701/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,100.0,.,.,6701/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,4600.0,.,.,6701/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,12.0,.,.,6702/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,230.0,.,.,6702/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,10.29,CHAPECÓ,2 VENDEDOR 15/07,3536/NFe,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),VENDAS OFICINA - 61,REVISAO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-24,24,7,2020,2020-07-24,2020-07-01,2020-07-01,0.0,CHAPECÓ,2 VENDEDOR 15/07,3536/NFe,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS OFICINA - 61,KM RODADO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,50.0,.,.,6704/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,12.0,.,.,6704/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6704/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6704/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,50.0,.,.,6705/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,12.0,.,.,6705/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6705/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6705/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,50.0,.,.,6706/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,12.0,.,.,6706/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6706/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6706/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,50.0,.,.,6707/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,DESLOCAMENTO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,12.0,.,.,6707/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,REVISAO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6707/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6707/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6708/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6708/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6709/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6709/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6710/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6711/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6712/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6713/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6714/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6715/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6716/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6716/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6717/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,4600.0,.,.,6717/REQ,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),REQUISICAO - 113,KM RODADO,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-07-27,27,7,2020,2020-07-27,2020-07-01,2020-07-01,100.0,.,.,6718/REQ,1. 1. 1 -> Automoveis Novos,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),REQUISICAO - 113,servico,.,.
